pente_image_noisy,pente_cible1_noisy,pente_cible2_noisy,test_slope_diff,background_noisy,nom_fichier_noisy
-2,-1.50,-2.50,-1,noisy,Fig-2BKG-1.50vs-2.50-target160_Blur0.50_slopediff0.50_GS_4.png
-2,-1.50,-2.50,-1,noisy,Fig-2BKG-1.50vs-2.50-target160_Blur0.50_slopediff0.50_GS_5.png
-2,-1.50,-2.75,-1.25,noisy,Fig-2BKG-1.50vs-2.75-target160_Blur0.50_slopediff0.50_GS_1.png
-2,-1.50,-2.75,-1.25,noisy,Fig-2BKG-1.50vs-2.75-target160_Blur0.50_slopediff0.50_GS_2.png
-2,-1.50,-2.75,-1.25,noisy,Fig-2BKG-1.50vs-2.75-target160_Blur0.50_slopediff0.50_GS_3.png
-2,-1.50,-2.75,-1.25,noisy,Fig-2BKG-1.50vs-2.75-target160_Blur0.50_slopediff0.50_GS_4.png
-2,-1.50,-2.75,-1.25,noisy,Fig-2BKG-1.50vs-2.75-target160_Blur0.50_slopediff0.50_GS_5.png
-2,-1.75,-1.25,0.5,noisy,Fig-2BKG-1.75vs-1.25-target160_Blur0.50_slopediff0.25_GS_1.png
-2,-1.75,-1.25,0.5,noisy,Fig-2BKG-1.75vs-1.25-target160_Blur0.50_slopediff0.25_GS_2.png
-2,-1.75,-1.25,0.5,noisy,Fig-2BKG-1.75vs-1.25-target160_Blur0.50_slopediff0.25_GS_3.png
-2,-1.75,-1.25,0.5,noisy,Fig-2BKG-1.75vs-1.25-target160_Blur0.50_slopediff0.25_GS_4.png
-2,-1.75,-1.25,0.5,noisy,Fig-2BKG-1.75vs-1.25-target160_Blur0.50_slopediff0.25_GS_5.png
-2,-1.75,-1.50,0.25,noisy,Fig-2BKG-1.75vs-1.50-target160_Blur0.50_slopediff0.25_GS_1.png
-2,-1.75,-1.50,0.25,noisy,Fig-2BKG-1.75vs-1.50-target160_Blur0.50_slopediff0.25_GS_2.png
-2,-1.75,-1.50,0.25,noisy,Fig-2BKG-1.75vs-1.50-target160_Blur0.50_slopediff0.25_GS_3.png
-2,-1.75,-1.50,0.25,noisy,Fig-2BKG-1.75vs-1.50-target160_Blur0.50_slopediff0.25_GS_4.png
